transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime_x,payAmount,customerAge,tripDuration,num_stops,day_of_week,hour,age_group,peak_status,route,current_week,cohort_week,cohort_index,weeks_diff,transaction_date,tapOutTime_y,Recency,Frequency,Monetary,AverageTransactionValue,FirstTransaction,LastTransaction,LifespanDays,LifespanWeeks,CLV,retention_rate
EIIW227B8L34VB,180062659848800,emoney,Bajragin Usada,M,2008,5,Matraman Baru - Ancol,1.0,P00142,Pal Putih,-6.184631,106.84402,7,P00253,Tegalan,-6.203101,106.85715,12.0,2023-04-03 06:00:53,3500.0,16,39.15,5.0,Monday,6,Under 18,Off-Peak,Pal Putih to Tegalan,2023-04-03,2023-04-03,0,0,2023-04-03 06:00:53,2023-04-28 18:00:55,2,35,122500.0,3500.0,2023-04-03 06:49:12,2023-04-28 18:04:47,25,3.5714285714285716,434684.9385245901,1.0
LGXO740D2N47GZ,4885331907664776,dki,Gandi Widodo,F,1997,6C,Stasiun Tebet - Karet via Patra Kuningan,0.0,B01963P,Kemenkes 2,-6.2287,106.83302,13,B03307P,Sampoerna Strategic,-6.217152,106.81892,21.0,2023-04-03 06:40:01,3500.0,27,57.28333333333333,8.0,Monday,6,18-29,Off-Peak,Kemenkes 2 to Sampoerna Strategic,2023-04-03,2023-04-03,0,0,2023-04-03 06:40:01,2023-04-28 18:13:01,2,35,122500.0,3500.0,2023-04-03 07:03:11,2023-04-28 17:36:51,25,3.5714285714285716,434684.9385245901,1.0
DJWR385V2U57TO,4996225095064169,dki,Emong Wastuti,F,1992,R1A,Pantai Maju - Kota,0.0,B00499P,Gg. Kunir II,-6.133132,106.81435,38,B04962P,Simpang Kunir Kemukus,-6.133731,106.81475,39.0,2023-04-03 06:50:55,3500.0,32,51.81666666666667,1.0,Monday,6,30-49,Off-Peak,Gg. Kunir II to Simpang Kunir Kemukus,2023-04-03,2023-04-03,0,0,2023-04-03 06:50:55,2023-04-28 18:08:00,2,35,122500.0,3500.0,2023-04-03 19:11:26,2023-04-28 17:57:19,24,3.4285714285714284,434684.9385245901,1.0
JTUZ800U7C86EH,639099174703,flazz,Surya Wacana,F,1978,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0.0,B05587P,Taman Elok 1,-6.195743,106.93526,23,B03090P,Raya Penggilingan,-6.183068,106.93194,29.0,2023-04-03 06:28:16,3500.0,46,43.416666666666664,6.0,Monday,6,30-49,Off-Peak,Taman Elok 1 to Raya Penggilingan,2023-04-03,2023-04-03,0,0,2023-04-03 06:28:16,2023-04-28 17:50:43,2,36,126000.0,3500.0,2023-04-03 17:22:12,2023-04-28 18:02:46,25,3.5714285714285716,447104.50819672126,1.0
VMLO535V7F95NJ,570928206772,flazz,Embuh Mardhiyah,M,1982,12,Tanjung Priok - Pluit,0.0,P00239,Sunter Boulevard Barat,-6.14965,106.889,5,P00098,Kali Besar Barat,-6.135355,106.81143,15.0,2023-04-03 06:57:03,3500.0,42,39.46666666666667,10.0,Monday,6,30-49,Off-Peak,Sunter Boulevard Barat to Kali Besar Barat,2023-04-03,2023-04-03,0,0,2023-04-03 06:57:03,2023-04-28 19:44:12,2,39,136500.0,3500.0,2023-04-03 17:22:12,2023-04-28 18:02:46,25,3.5714285714285716,484363.21721311467,1.0
DDES630K2F80KC,2251412124634980,dki,Tirta Siregar,F,1993,1T,Cibubur - Balai Kota,0.0,B00127P,Benhil 3,-6.21601,106.81632,3,B00694P,Grand Sahid,-6.210975,106.82059,6.0,2023-04-03 05:52:25,20000.0,31,44.4,3.0,Monday,5,30-49,Off-Peak,Benhil 3 to Grand Sahid,2023-04-03,2023-04-03,0,0,2023-04-03 05:52:25,2023-04-28 07:14:08,2,38,760000.0,20000.0,2023-04-03 06:33:09,2023-04-28 18:50:24,25,3.5714285714285716,2696820.8430913347,1.0
OIHS248V7S72EB,6510013988638519,dki,"Cagak Maheswara, S.Sos",F,1992,B14,Bekasi Barat - Kuningan,1.0,B00795P,Imperium,-6.210363,106.83059,1,B01853P,Kayuringin 2,-6.245948,106.99247,16.0,2023-04-03 06:51:12,20000.0,32,49.46666666666667,15.0,Monday,6,30-49,Off-Peak,Imperium to Kayuringin 2,2023-04-03,2023-04-03,0,0,2023-04-03 06:51:12,2023-04-28 05:52:05,2,37,740000.0,20000.0,2023-04-03 07:28:16,2023-04-28 06:22:02,24,3.4285714285714284,2625851.8735362994,1.0
ERXO372B2H63RB,3580401035990896,dki,"T. Dadap Pradana, M.Ak",M,2004,1Q,Rempoa - Blok M,0.0,B05781P,TPU Bungur,-6.247208,106.77889,15,B06578P,Blok M Jalur 3,-6.243426,106.80188,24.0,2023-04-03 06:51:12,3500.0,20,53.416666666666664,9.0,Monday,6,18-29,Off-Peak,TPU Bungur to Blok M Jalur 3,2023-04-03,2023-04-03,0,0,2023-04-03 06:51:12,2023-04-28 18:36:45,2,39,136500.0,3500.0,2023-04-03 07:30:45,2023-04-28 19:27:01,25,3.5714285714285716,484363.21721311467,1.0
CLWK627W2M22WO,5541851157087967,dki,"Oskar Widiastuti, S.Farm",F,1997,5M,Kampung Melayu - Tanah Abang via Cikini,1.0,B05433P,Pegangsaan Timur,-6.199263,106.84205,17,B02387P,Matraman 4,-6.199782,106.8545,23.0,2023-04-03 07:23:54,3500.0,27,51.43333333333333,6.0,Monday,7,18-29,Peak,Pegangsaan Timur to Matraman 4,2023-04-03,2023-04-03,0,0,2023-04-03 07:23:54,2023-04-28 05:36:32,2,30,105000.0,3500.0,2023-04-03 07:25:05,2023-04-28 18:46:23,25,3.5714285714285716,372587.0901639344,1.0
IIEK980X1O23NZ,347204308990092,emoney,R.M. Labuh Laksmiwati,F,1984,M7B,BKN - Blok M,1.0,P00254,Tendean,-6.240213,106.83102,12,P00129,Mampang Prapatan,-6.242699,106.82572,14.0,2023-04-03 06:50:21,0.0,40,28.183333333333334,2.0,Monday,6,30-49,Off-Peak,Tendean to Mampang Prapatan,2023-04-03,2023-04-03,0,0,2023-04-03 06:50:21,2023-04-28 17:26:48,2,37,0.0,0.0,2023-04-03 06:55:59,2023-04-28 06:21:53,24,3.4285714285714284,0.0,1.0
OPLW560U3S06UG,3536759468239783,dki,Shakila Maryadi,F,1988,9A,PGC 2 - Grogol 2,1.0,P00281,Slipi Petamburan Arah Selatan,-6.201948,106.79998,4,P00216,Semanggi,-6.22111,106.81354,6.0,2023-04-03 07:08:31,3500.0,36,53.45,2.0,Monday,7,30-49,Peak,Slipi Petamburan Arah Selatan to Semanggi,2023-04-03,2023-04-03,0,0,2023-04-03 07:08:31,2023-04-28 18:30:43,2,34,119000.0,3500.0,2023-04-04 18:28:59,2023-04-28 18:33:31,24,3.4285714285714284,422265.36885245895,1.0
XESX233R4U46DN,6575130739600630,dki,Danuja Usada,F,2002,4,Pulo Gadung 2 - Tosari,1.0,P00159,Pasar Rumput,-6.207125,106.84112,2,P00135,Matraman 2,-6.19891,106.8545,4.0,2023-04-03 07:07:35,3500.0,22,55.35,2.0,Monday,7,18-29,Peak,Pasar Rumput to Matraman 2,2023-04-03,2023-04-03,0,0,2023-04-03 07:07:35,2023-04-28 18:07:56,2,32,112000.0,3500.0,2023-04-03 06:51:21,2023-04-28 18:45:56,25,3.5714285714285716,397426.22950819664,1.0
LZFD368Q3E81HJ,4056836188316,online,Nadine Utami,M,1975,JAK.46,Pasar Minggu - Jagakarsa,1.0,B00608P,Gelanggang Remaja Pasar Minggu,-6.284615,106.83787,5,B01062P,Jln. Gabus Raya,-6.301222,106.83623,17.0,2023-04-03 06:09:17,0.0,49,30.55,12.0,Monday,6,30-49,Off-Peak,Gelanggang Remaja Pasar Minggu to Jln. Gabus Raya,2023-04-03,2023-04-03,0,0,2023-04-03 06:09:17,2023-04-28 17:45:23,2,33,0.0,0.0,2023-04-03 06:48:21,2023-04-28 19:01:43,25,3.5714285714285716,0.0,1.0
KLUN542I2F21PI,4532407180860336,dki,H. Lutfan Nurdiyanti,M,2011,S22,Ciputat - Kampung Rambutan,0.0,B05291P,SMK Darussalam,-6.319946,106.74598,1,B03032P,Pusdiklat Kemenag 1,-6.312075,106.75228,3.0,2023-04-03 07:07:17,3500.0,13,23.95,2.0,Monday,7,Under 18,Peak,SMK Darussalam to Pusdiklat Kemenag 1,2023-04-03,2023-04-03,0,0,2023-04-03 07:07:17,2023-04-28 17:50:20,2,36,126000.0,3500.0,2023-04-03 18:12:06,2023-04-28 05:31:59,24,3.4285714285714284,447104.50819672126,1.0
XDMP644Z5Y29DB,4556326832434362836,brizzi,Sari Nababan,F,2004,13,Ciledug - Tendean,1.0,P00096,JORR,-6.236104,106.75488,10,P00001,Adam Malik,-6.236466,106.74786,11.0,2023-04-03 07:47:42,3500.0,20,57.9,1.0,Monday,7,18-29,Peak,JORR to Adam Malik,2023-04-03,2023-04-03,0,0,2023-04-03 07:47:42,2023-04-28 18:44:53,2,34,119000.0,3500.0,2023-04-03 06:37:59,2023-04-28 18:50:56,25,3.5714285714285716,422265.36885245895,1.0
